feature,mean_abs_shap
hjorth_complexity_FFC3h,0.010572931661453568
hjorth_mobility_C3,0.01057160336121259
alpha_theta_ratio_PO7,0.010541025310229117
hjorth_mobility_FC3,0.01052939310206087
hjorth_mobility_FCC2h,0.010511858015730898
hjorth_complexity_AF3,0.010424269513293033
spectral_entropy_CCP2h,0.010405417176377663
hjorth_mobility_FCC3h,0.010273833051066581
spectral_entropy_FTT8h,0.010263359608486065
spectral_entropy_F4,0.010251304135256137
spectral_entropy_OI1h,0.010238284424316286
spectral_entropy_PPO2h,0.010141642348224886
spectral_entropy_PPO10h,0.010129511783898034
spectral_entropy_F8,0.01012577082437349
spectral_entropy_CPP4h,0.010108915127900488
hjorth_complexity_P6,0.010028526941301604
hjorth_complexity_CP5,0.009951535240641284
spectral_entropy_F7,0.009941969354366018
hjorth_mobility_POO10h,0.0099337567894367
hjorth_complexity_PPO2h,0.009898378297216816
hjorth_complexity_O1,0.009870549002591208
hjorth_mobility_Pz,0.009864235128146452
hjorth_complexity_Cz,0.00981804810664416
spectral_entropy_T8,0.009799093116934245
hjorth_mobility_POO2,0.009755851882531308
hjorth_complexity_PPO1h,0.009727989819980411
alpha_theta_ratio_O9,0.009693608919945633
spectral_entropy_FT10,0.009678668770395478
hjorth_complexity_AFp1,0.009674326045706642
hjorth_mobility_CP4,0.009649183490844327
alpha_theta_ratio_FT10,0.009632408116457254
hjorth_mobility_O10,0.009597037485247177
hjorth_complexity_O10,0.009580409883553128
spectral_entropy_O2,0.009565477053034323
hjorth_mobility_PO3,0.00951519325035155
hjorth_complexity_POz,0.00946327120224555
hjorth_mobility_C5,0.009452561334992886
hjorth_complexity_POO10h,0.009447613031427512
hjorth_complexity_TPP8h,0.009416287661805986
hjorth_complexity_TTP8h,0.009411856982108252
hjorth_mobility_TP8,0.009405372216921958
spectral_entropy_C5,0.009356492163410998
hjorth_mobility_TTP8h,0.009319848374639832
hjorth_mobility_F10,0.009273478994810376
alpha_theta_ratio_CPP3h,0.009215897715928748
hjorth_mobility_F7,0.009165495558793351
alpha_theta_ratio_P8,0.00913075730891468
hjorth_mobility_CPz,0.009101507362573279
hjorth_complexity_CPP3h,0.009025535378083852
hjorth_mobility_AF4,0.008958978799710691
spectral_entropy_CCP5h,0.00892257391818843
hjorth_mobility_FT8,0.008854401292126078
alpha_theta_ratio_P2,0.008794683446517765
spectral_entropy_CCP1h,0.008761358603474292
alpha_theta_ratio_TPP8h,0.00872884197483652
hjorth_mobility_P10,0.008711620469689358
alpha_theta_ratio_TTP8h,0.008707212997408193
alpha_theta_ratio_POO2,0.00862332071291407
alpha_theta_ratio_CP4,0.008614578026293708
spectral_entropy_CP3,0.008563893944690534
spectral_entropy_P9,0.008555625383908558
alpha_theta_ratio_CP3,0.008535220741088938
hjorth_complexity_FCC6h,0.008489738873125182
hjorth_mobility_PO10,0.008461326485777894
hjorth_mobility_POz,0.008460523738991112
spectral_entropy_F5,0.008299120933285867
alpha_theta_ratio_CCP3h,0.008279533713288609
alpha_theta_ratio_FFT8h,0.00824282158553383
spectral_entropy_TP10,0.008179877972234063
spectral_entropy_PO9,0.008177754121104287
alpha_theta_ratio_T7,0.00817509571060108
hjorth_mobility_PPO5h,0.00812039645618816
hjorth_complexity_FC6,0.008111306022166361
hjorth_mobility_FT9,0.008079488999537575
hjorth_complexity_FFT10h,0.008061183166920049
spectral_entropy_POO9h,0.008048433234923463
spectral_entropy_CP6,0.00804279719964029
alpha_theta_ratio_Pz,0.008040930114385565
hjorth_mobility_AFF5h,0.00803958914229845
hjorth_mobility_TPP8h,0.008021241941795184
alpha_theta_ratio_PPO10h,0.00800532833175455
hjorth_mobility_Cz,0.00799062892804991
hjorth_mobility_FT10,0.007918755101169095
hjorth_complexity_FC4,0.007909432934177434
hjorth_mobility_FC4,0.007905966919552093
hjorth_complexity_FC3,0.007849350749292978
hjorth_complexity_FT10,0.007840969610823171
hjorth_complexity_CP4,0.00783427874614522
