model,dataset,task,split,n_features,macro_f1,roc_auc,accuracy,mcc,experiment,protocol,AUC,Macro_F1,MCC,Accuracy
LR_spatial_targeted,PEARL-Neuro,APOE_risk vs PICALM_risk,LOSO,20,0.4004,0.4028,0.4103,-0.1906,,,,,,
EEGNet_epoch_level,PEARL-Neuro,APOE_risk vs PICALM_risk,LOSO,raw_epochs,0.9677,0.9779,0.9687,0.9366,,,,,,
EEGNet_subject_level,PEARL-Neuro,APOE_risk vs PICALM_risk,LOSO,raw_epochs,0.9864,0.9894,0.987,0.9732,,,,,,
ResNet18_v2_verified_orientation,OASIS-2,Control vs MCI,StratifiedKFold_5,CNN_slices_verified,0.6152,0.6762,0.6496,0.2351,,,,,,
EEGNet-only,PEARL-Neuro,,,,,,,,fusion,LOSO,0.989,1.0,1.0,1.0
DMN-only,PEARL-Neuro,,,,,,,,fusion,LOSO,0.4634,0.5268,0.0539,0.5441
Late Fusion (LR),PEARL-Neuro,,,,,,,,fusion,LOSO,0.9675,0.8662,0.7514,0.8676
Intermediate Fusion (LR),PEARL-Neuro,,,,,,,,fusion,LOSO,0.897,0.7896,0.5848,0.7941
